TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_VOTES,DURATION,NUMBER_OF_SEASONS,MAIN_GENRE,MAIN_PRODUCTION,contentType,description,contentRating,genre,formattedDuration,releasedDate,Hours Viewed,actors,director,creator,audio,subtitle,numberOfSeasons,seasonStartDate
13 Reasons Why,2017,7.5,282373,58,4,drama,US,,,,,,,,,,,,,,
30 Rock,2006,8.3,121514,25,7,comedy,US,,,,,,,,,,,,,,
A Series of Unfortunate Events,2017,7.8,59239,47,3,action,US,,,,,,,,,,,,,,
After Life,2019,8.5,124972,28,3,comedy,GB,TVSeries,"Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.",18,TV Dramas,,3/8/19,"8,800,000","Ricky Gervais, Tom Basden, Tony Way, Diane Morgan, Mandeep Dhillon, David Bradley, Ashley Jensen, Kerry Godliman, Penelope Wilton, Jo Hartley, Paul Kaye, Roisin Conaty, Joe Wilkinson, David Earl, Ethan Lawrence, Kath Hughes",,Ricky Gervais,,,3,3/8/19
Alias Grace,2017,7.7,31577,44,1,drama,CA,,,,,,,,,,,,,,
Alice in Borderland,2020,7.6,47651,47,2,action,JP,,,,,,,,,,,,,,
All of Us Are Dead,2022,7.5,41393,61,1,action,KR,TVSeries,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,18,Horror TV Serials,,1/28/22,"94,600,000","Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee You-mi, Kim Byong-chul, Lee Kyoo-hyung, Jeon Bae-soo",,"Lee JQ, Chun Sung-il, Kim Nam-su",,,1,1/28/22
Altered Carbon,2018,7.9,162018,52,2,scifi,US,TVSeries,"After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.",18,TV Shows Based on Books,,2/2/18,"18,100,000","Anthony Mackie, Lela Loren, Simone Missick, Chris Conner, Dina Shihabi, Torben Liebrecht, Renée Elise Goldsberry, Joel Kinnaman, James Purefoy, Martha Higareda, Dichen Lachman, Will Yun Lee, Kristin Lehman, Ato Essandoh, Tamara Taylor, Byron Mann",,Laeta Kalogridis,,,2,2/2/18
American Vandal,2017,8.1,29972,33,2,comedy,US,,,,,,,,,,,,,,
Angel Beats!,2010,7.7,13848,26,1,scifi,JP,,,,,,,,,,,,,,
Anne with an E,2017,8.7,51001,46,3,drama,CA,TVSeries,"A plucky orphan whose passions run deep finds an unlikely home with a spinster and her soft-spoken bachelor brother. Based on ""Anne of Green Gables.""",13,TV Shows Based on Books,,5/12/17,"30,900,000","Amybeth McNulty, Geraldine James, R.H. Thomson, Corrine Koslo, Dalila Bela, Lucas Jade Zumann, Aymeric Jett Montaz, Dalmar Abuzeid, Cory Gruter-Andrew, Joanna Douglas",,Moira Walley-Beckett,,,3,5/12/17
anohana: The Flower We Saw That Day,2011,8.2,12682,23,1,drama,JP,,,,,,,,,,,,,,
