url,name,contentType,description,contentRating,genre,formattedDuration,releasedDate,Hours Viewed,actors,director,creator,audio,subtitle,numberOfSeasons,seasonStartDate,uniqId,scrapedAt
https://www.netflix.com/title/80189221,The Haunting of Hill House,TVSeries,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",18,TV Mysteries,,10/12/18,"22,000,000","Michiel Huisman, Carla Gugino, Timothy Hutton, Henry Thomas, Elizabeth Reaser, Oliver Jackson-Cohen, Kate Siegel, Victoria Pedretti, Lulu Wilson, Mckenna Grace, Paxton Singleton, Julian Hilliard, Violet McGraw",,Mike Flanagan,,,1,10/12/18,85814dcd-729d-577f-873b-e3b7d9f21ab1,5/3/22 14:51
https://www.netflix.com/title/81031373,Don't F**k with Cats: Hunting an Internet Killer,TVSeries,A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.,18,True Crime Documentaries,,12/18/19,"3,700,000",,Mark Lewis,,,,1,12/18/19,134f93fc-a991-55ca-ad36-8c438b930e52,5/3/22 14:51
https://www.netflix.com/title/80996601,Love Is Blind,TVSeries,"Nick and Vanessa Lachey host this social experiment where single men and women look for love and get engaged, all before meeting in person.",16,Wedding & Romance Reality TV,,2/13/20,"26,200,000","Nick Lachey, Vanessa Lachey",,,,,2,2/13/20,e5461057-25c2-59a5-8672-d4b4a102ee00,5/3/22 14:51
https://www.netflix.com/title/81350429,I Care a Lot,Movie,A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.,18,US Movies,1h 59m,2/19/21,"7,700,000","Rosamund Pike, Peter Dinklage, Eiza González, Dianne Wiest, Chris Messina, Isiah Whitlock Jr., Macon Blair, Alicia Witt, Damian Young",J Blakeson,,"English - Audio Description, English [Original]","English, Hindi",,2/19/21,bbc71932-fc79-51aa-bf83-023c2c5db97c,5/3/22 14:51
https://www.netflix.com/title/81149184,"tick, tick...BOOM!",Movie,"On the brink of turning 30, a promising theater composer navigates love, friendship and the pressure to create something great before time runs out.",13,US Movies,1h 55m,11/19/21,"1,400,000","Andrew Garfield, Alexandra Shipp, Vanessa Hudgens, Robin de Jesús, Joshua Henry, Bradley Whitford, Tariq Trotter, Judith Light",Lin-Manuel Miranda,,"English - Audio Description, English [Original], Hindi",English,,11/19/21,cd630201-99b9-5ac4-bb78-7fad5c65cc95,5/3/22 14:51
https://www.netflix.com/title/81083626,Midnight Mass,TVSeries,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",16,TV Mysteries,,9/24/21,"12,700,000","Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",Mike Flanagan,Mike Flanagan,,,1,9/24/21,d452167a-817d-5526-9070-d7fc23e8ff67,5/3/22 14:51
https://www.netflix.com/title/80180171,Kingdom,TVSeries,"While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",18,Horror TV Serials,,1/25/19,"10,200,000","Ju Ji-hoon, Ryu Seung-ryong, Bae Doona, Kim Sang-ho, Kim Sung-kyu, Jun Suk-ho, Kim Hye-jun, Park Byung-eun, Huh Joon-ho",,"Kim Eun-hee, Kim Seong-hun, Park Inje",,,2,1/25/19,ef1d6583-df37-5e68-b1aa-348697b6f302,5/3/22 14:51
https://www.netflix.com/title/81144852,Munich – The Edge of War,Movie,"At the tense 1938 Munich Conference, former friends who now work for opposing governments become reluctant spies racing to expose a Nazi secret.",13,Movies Based on Books,2h 9m,1/21/22,"4,300,000","George MacKay, Jannis Niewöhner, Jeremy Irons, Robert Bathurst, Jessica Brown Findlay, August Diehl, Sandra Hüller, Alex Jennings, Ulrich Matthes, Liv Lisa Fries",Christian Schwochow,,"German - Audio Description, German, English - Audio Description, English [Original], Hindi","German, German, English",,,c94d5145-fc57-584c-bb6a-0535d4ee9cfe,5/3/22 14:51
https://www.netflix.com/title/81194110,Tall Girl 2,Movie,"Landing the lead in the school musical is a dream come true for Jodi, until the pressure sends her confidence — and her relationship — into a tailspin.",7,US Movies,1h 41m,2/11/22,"10,900,000","Ava Michelle, Griffin Gluck, Sabrina Carpenter, Anjelika Washington, Luke Eisner, Clara Wilsey, Rico Paris, Jan Luis Castellanos, Johanna Liauw, Steve Zahn, Angela Kinsey",Emily Ting,,"English - Audio Description, English [Original], Hindi, Tamil, Telugu",English,,,62338b6f-a642-5f8e-a846-dc8fb691ddcd,5/3/22 14:51
https://www.netflix.com/title/81028870,The Devil All The Time,Movie,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,18,US Movies,2h 18m,9/16/20,"8,500,000","Tom Holland, Bill Skarsgård, Riley Keough, Robert Pattinson, Mia Wasikowska, Jason Clarke, Sebastian Stan, Haley Bennett, Harry Melling, Eliza Scanlen",Antonio Campos,,"English - Audio Description, English [Original]",English,,,6ff23afd-bc51-5a3d-99cf-464ff3bed09b,5/3/22 14:51
https://www.netflix.com/title/81015514,PIECES OF HER,TVSeries,A woman pieces together her mother's dark past after a violent attack in their small town brings hidden threats and deadly secrets to light.,18,TV Mysteries,,3/4/22,"43,800,000","Toni Collette, Bella Heathcote, Jessica Barden, Joe Dempsie, Omari Hardwick, Jacob Scipio, David Wenham, Gil Birmingham, Aaron Jeffery",,Charlotte Stoudt,,,1,3/4/22,1a888770-1435-5440-97eb-284225c1075b,5/3/22 14:52
